iter	Passed	Remaining
0	170	170760
1	176	88075
2	180	60084
3	183	45810
4	186	37210
5	189	31324
6	190	27091
7	192	23903
8	195	21507
9	197	19508
10	198	17867
11	200	16535
12	202	15396
13	204	14392
14	205	13522
15	211	13013
16	214	12429
17	217	11857
18	219	11328
19	221	10841
20	223	10398
21	224	9986
22	226	9606
23	228	9286
24	229	8964
25	231	8666
26	232	8392
27	234	8135
28	235	7894
29	237	7671
30	238	7462
31	240	7268
32	241	7082
33	243	6907
34	244	6741
35	245	6586
36	247	6442
37	248	6303
38	250	6169
39	251	6043
40	253	5923
41	255	5831
42	257	5730
43	258	5626
44	260	5526
45	261	5431
46	263	5339
47	264	5255
48	266	5170
49	267	5089
50	269	5010
51	270	4934
52	272	4860
53	274	4805
54	275	4739
55	277	4673
56	278	4611
57	280	4550
58	281	4494
59	283	4440
60	284	4384
61	286	4330
62	287	4282
63	289	4232
64	290	4183
65	292	4135
66	293	4090
67	294	4035
68	295	3991
69	297	3950
70	298	3908
71	300	3868
72	301	3830
73	303	3794
74	304	3758
75	306	3722
76	307	3686
77	308	3652
78	310	3621
79	312	3589
80	313	3556
81	314	3524
82	316	3493
83	317	3463
84	318	3428
85	319	3400
86	320	3367
87	322	3339
88	323	3312
89	325	3286
90	326	3261
91	327	3236
92	329	3213
93	331	3190
94	332	3169
95	334	3146
96	335	3123
97	336	3100
98	338	3079
99	339	3057
100	341	3037
101	341	3009
102	343	2989
103	345	2973
104	346	2954
105	348	2937
106	349	2918
107	351	2899
108	352	2881
109	353	2863
110	355	2845
111	357	2831
112	358	2813
113	359	2796
114	361	2779
115	362	2761
116	363	2745
117	365	2729
118	366	2711
119	367	2696
120	369	2681
121	370	2669
122	371	2649
123	372	2634
124	374	2620
125	375	2606
126	377	2592
127	378	2575
128	379	2562
129	381	2550
130	382	2537
131	383	2524
132	390	2548
133	392	2539
134	395	2534
135	397	2524
136	399	2515
137	400	2501
138	402	2491
139	403	2480
140	405	2469
141	406	2459
142	408	2447
143	409	2436
144	411	2426
145	413	2415
146	414	2405
147	415	2394
148	417	2383
149	418	2372
150	420	2362
151	422	2354
152	423	2344
153	424	2334
154	426	2324
155	427	2314
156	429	2304
157	430	2294
158	431	2284
159	433	2274
160	434	2265
161	436	2257
162	437	2248
163	439	2239
164	440	2230
165	442	2222
166	443	2213
167	445	2204
168	446	2195
169	447	2186
170	449	2178
171	451	2172
172	452	2164
173	454	2156
174	455	2148
175	457	2140
176	458	2133
177	460	2125
178	461	2118
179	463	2110
180	463	2098
181	465	2090
182	466	2083
183	468	2076
184	469	2068
185	471	2061
186	472	2053
187	473	2046
188	475	2039
189	476	2032
190	478	2025
191	479	2018
192	481	2013
193	482	2006
194	484	1999
195	485	1992
196	487	1986
197	488	1979
198	490	1972
199	491	1966
200	492	1959
201	494	1952
202	496	1948
203	497	1942
204	499	1936
205	500	1929
206	502	1923
207	503	1917
208	505	1912
209	506	1906
210	508	1900
211	509	1893
212	510	1888
213	512	1881
214	513	1876
215	515	1870
216	516	1864
217	518	1858
218	519	1852
219	520	1846
220	522	1841
221	523	1835
222	526	1833
223	528	1830
224	530	1825
225	531	1820
226	533	1815
227	534	1809
228	535	1804
229	537	1799
230	538	1793
231	540	1789
232	542	1784
233	543	1779
234	545	1774
235	546	1768
236	547	1763
237	549	1758
238	550	1753
239	551	1747
240	553	1742
241	554	1737
242	556	1732
243	557	1727
244	559	1722
245	560	1717
246	561	1713
247	563	1708
248	564	1703
249	566	1698
250	567	1693
251	568	1688
252	571	1686
253	572	1682
254	574	1678
255	575	1673
256	577	1669
257	578	1664
258	580	1660
259	581	1656
260	584	1654
261	585	1650
262	587	1645
263	588	1641
264	590	1637
265	591	1633
266	593	1628
267	594	1624
268	596	1619
269	597	1615
270	599	1611
271	600	1606
272	601	1602
273	603	1598
274	604	1593
275	605	1589
276	607	1586
277	609	1582
278	610	1578
279	612	1574
280	613	1569
281	615	1566
282	616	1562
283	618	1558
284	619	1554
285	620	1550
286	622	1545
287	623	1542
288	625	1538
289	626	1534
290	628	1530
291	629	1527
292	631	1523
293	632	1519
294	634	1515
295	635	1511
296	637	1507
297	638	1504
298	639	1500
299	641	1496
300	642	1492
301	643	1488
302	646	1487
303	648	1484
304	650	1481
305	652	1478
306	653	1475
307	655	1472
308	657	1469
309	658	1466
310	660	1463
311	662	1460
312	664	1457
313	666	1455
314	667	1452
315	669	1448
316	670	1445
317	672	1442
318	675	1441
319	676	1438
320	678	1434
321	679	1431
322	681	1427
323	682	1424
324	684	1421
325	685	1418
326	687	1414
327	688	1410
328	690	1407
329	691	1403
330	693	1401
331	694	1397
332	695	1394
333	697	1390
334	698	1387
335	700	1383
336	701	1380
337	703	1377
338	704	1374
339	706	1371
340	707	1367
341	709	1364
342	710	1360
343	712	1357
344	713	1354
345	714	1351
346	716	1347
347	717	1344
348	719	1341
349	720	1338
350	722	1335
351	723	1332
352	725	1328
353	726	1325
354	727	1322
355	729	1318
356	730	1315
357	731	1312
358	734	1310
359	735	1308
360	737	1304
361	738	1301
362	740	1298
363	741	1295
364	743	1292
365	744	1289
366	745	1286
367	747	1283
368	749	1280
369	750	1277
370	751	1274
371	753	1271
372	754	1268
373	756	1265
374	757	1262
375	759	1259
376	760	1256
377	761	1253
378	766	1256
379	772	1260
380	774	1257
381	775	1254
382	777	1252
383	779	1249
384	780	1246
385	782	1244
386	783	1241
387	784	1238
388	786	1235
389	787	1232
390	789	1229
391	790	1226
392	792	1223
393	794	1221
394	795	1218
395	797	1216
396	798	1213
397	800	1210
398	801	1207
399	803	1204
400	804	1201
401	806	1199
402	807	1196
403	809	1193
404	810	1190
405	811	1187
406	813	1185
407	814	1182
408	816	1179
409	817	1176
410	819	1173
411	820	1171
412	821	1168
413	823	1165
414	825	1163
415	826	1160
416	828	1157
417	829	1154
418	830	1152
419	832	1149
420	833	1146
421	835	1144
422	836	1141
423	838	1139
424	839	1136
425	841	1133
426	842	1130
427	844	1128
428	845	1125
429	846	1122
430	848	1119
431	849	1117
432	851	1114
433	852	1112
434	854	1109
435	855	1106
436	857	1104
437	858	1101
438	859	1098
439	861	1096
440	862	1093
441	864	1091
442	865	1088
443	867	1085
444	868	1083
445	870	1081
446	872	1079
447	873	1076
448	875	1074
449	876	1071
450	878	1068
451	879	1066
452	880	1063
453	883	1062
454	885	1060
455	887	1059
456	889	1056
457	890	1054
458	892	1052
459	894	1049
460	895	1047
461	896	1044
462	899	1042
463	901	1041
464	902	1038
465	904	1036
466	905	1033
467	907	1031
468	908	1028
469	910	1026
470	911	1024
471	913	1021
472	914	1018
473	915	1016
474	917	1013
475	919	1012
476	921	1010
477	925	1010
478	931	1012
479	932	1010
480	934	1008
481	936	1006
482	939	1005
483	940	1002
484	941	1000
485	943	997
486	944	995
487	946	992
488	947	990
489	949	988
490	951	986
491	952	983
492	954	981
493	955	979
494	957	976
495	958	974
496	960	971
497	961	969
498	963	967
499	964	964
500	966	962
501	967	959
502	969	958
503	971	956
504	973	953
505	974	951
506	976	949
507	977	946
508	979	944
509	980	942
510	982	939
511	983	937
512	985	935
513	986	932
514	988	930
515	989	928
516	991	926
517	992	923
518	994	921
519	996	919
520	997	917
521	998	914
522	1000	912
523	1001	909
524	1003	907
525	1004	905
526	1006	903
527	1008	901
528	1009	899
529	1011	896
530	1012	894
531	1014	892
532	1015	889
533	1018	888
534	1019	886
535	1021	883
536	1022	881
537	1024	879
538	1025	877
539	1027	874
540	1028	872
541	1030	870
542	1032	868
543	1033	866
544	1035	864
545	1036	861
546	1037	859
547	1039	857
548	1040	855
549	1042	852
550	1043	850
551	1045	848
552	1046	845
553	1047	843
554	1049	841
555	1051	839
556	1053	837
557	1054	835
558	1055	833
559	1057	830
560	1058	828
561	1060	826
562	1061	824
563	1063	822
564	1065	820
565	1066	817
566	1068	816
567	1070	814
568	1072	812
569	1073	810
570	1075	807
571	1076	805
572	1078	803
573	1079	801
574	1081	799
575	1082	797
576	1084	794
577	1085	792
578	1087	790
579	1088	788
580	1090	786
581	1091	784
582	1093	781
583	1094	779
584	1096	777
585	1097	775
586	1099	773
587	1100	771
588	1102	769
589	1104	767
590	1105	765
591	1107	763
592	1108	761
593	1110	758
594	1111	756
595	1113	754
596	1114	752
597	1117	750
598	1122	751
599	1130	753
600	1132	751
601	1134	749
602	1149	756
603	1151	754
604	1153	753
605	1161	755
606	1164	753
607	1166	751
608	1167	749
609	1169	747
610	1171	745
611	1174	744
612	1175	742
613	1177	740
614	1178	737
615	1179	735
616	1181	733
617	1190	735
618	1191	733
619	1192	731
620	1193	728
621	1195	726
622	1196	724
623	1205	726
624	1207	724
625	1208	722
626	1209	719
627	1211	717
628	1212	715
629	1214	712
630	1216	711
631	1217	709
632	1218	706
633	1220	704
634	1221	702
635	1222	699
636	1224	697
637	1232	699
638	1234	697
639	1235	695
640	1236	692
641	1237	690
642	1239	688
643	1240	685
644	1248	687
645	1249	684
646	1251	682
647	1252	680
648	1253	678
649	1254	675
650	1256	673
651	1264	674
652	1265	672
653	1266	670
654	1268	668
655	1269	665
656	1270	663
657	1273	661
658	1282	663
659	1284	661
660	1285	659
661	1286	656
662	1288	654
663	1289	652
664	1292	650
665	1294	649
666	1295	646
667	1297	644
668	1298	642
669	1299	640
670	1306	640
671	1309	639
672	1310	636
673	1311	634
674	1313	632
675	1314	630
676	1316	628
677	1325	629
678	1327	627
679	1328	625
680	1329	622
681	1331	620
682	1332	618
683	1340	619
684	1342	617
685	1343	614
686	1344	612
687	1346	610
688	1348	608
689	1355	608
690	1357	607
691	1359	604
692	1360	602
